Nature;HILUCS
1;1_1_1
2;1_1_1
3;1_1_1
4;1_1
5;1_1_1
6;8_8
7;8_8
8;1_1_1
9;1_2
10;1_1_1
11;1_1_1
13;1_2
14;1_2
17;3_4_1
18;3_4_3
20;3_4_4
21;3_1
22;3_4_3
24;4_3_2
25;7_2
26;1_4
27;8_8
28;8_8
29;7_2
30;1_4
33;4_1_1
34;4_1_1
35;6_2
36;7_1
38;7_2
39;7_2
41;7
43;3_4_1
44;6_6_A
45;6_2
46;6_2
49;4_3_3
50;2_1
51;2_2
52;4_1_1
54;2_1
55;4_1_2
56;1_3
57;1_3
59;4_1_4
62;3_3_4
63;8_8
67;5_1
68;8_8
69;2
70;8_8
71;4_1_1
72;4_1_2
73;3_3_1
74;3_3_5
75;1_1_1
76;4_3_2
77;8_8
78;8_8
79;4_1_1
80;4_3_2
85;4_3_2
86;2_1
87;4_3_2
164;8_8
165;5_1
166;8_8
200;5_1
201;5_1
202;6_2
203;5_1
204;8_8
205;5_1
206;5_1
220;5_1
221;5_1
222;5_1
223;5_1
240;1_1_2
241;1_1_2
242;1_1_2
243;1_1_2
244;1_1_2
245;1_1_1
246;1_1_2
247;1_1_2
260;2_3
261;3_1
262;2_1
263;2_1
264;3_1
265;2_3
280;2_3
281;2_3
282;2_3
283;2_3
284;2_3
285;2_3
286;2_3
287;2_3
288;2_3
289;2_3
290;2_3
300;2_3
301;2_3
302;2_3
303;2_1
304;2_1
305;2_1
306;2_1
320;2_1
321;2_1
322;2_1
323;2_1
324;2_1
340;2_1
341;2_1
342;2_1
343;2_2
344;2_1
345;2_1
346;2_1
347;2_1
348;2_1
349;2_1
350;2_1
351;2_1
352;1_3
353;2_4
354;2_4
355;2_4
356;2_1
357;2_1
370;2_1
371;2_1
372;4_3_1
373;4_3_1
374;4_3_1
375;4_3_1
376;2_1
377;2_1
378;3_2
379;2_1
380;2_1
381;2_1
382;2_1
400;3_2
401;3_2
402;3_2
403;3_1
404;3_1
405;3_1
406;3_4_2
407;3_1
408;3_1
409;3_1
410;4_1_1
411;4_1_1
412;3_1
413;3_4_1
414;3_1
415;3_4_1
420;3_3_1
421;3_3_1
422;3_3_1
423;3_3_1
424;3_3_1
425;3_3_1
426;3_3_1
427;3_3_1
428;4_1_2
429;4_1_1
430;3_2
431;3_2
432;4_1_3
433;3_3_3
434;3_3_1
440;3_3_3
441;3_3_2
442;3_3_5
443;3_3_3
444;3_3_3
445;3_3_3
446;3_3_3
460;3_3_2
461;3_3_2
462;3_4_1
463;3_4_1
480;3_3_4
481;3_3_4
482;3_3_4
483;3_3_4
484;3_3_4
485;3_3_4
486;3_3_4
487;3_3_4
488;3_3_4
489;3_3_4
500;3_4_3
501;3_4_3
502;5_3
503;5_3
504;3_3_2
505;3_4_1
506;3_4_2
507;3_4_1
508;3_4_2
509;3_4_2
510;3_4_4
520;6_2
521;8_8
522;5_1
523;3_4_1
524;3_4_1
525;3_4_1
526;3_4_1
527;3_4_1
528;4_3_2
529;4_3_2
530;4_3_2
531;4_3_3
532;8_8
533;5_1
534;5_1
535;3_1
536;8_8
537;5_1
538;8_8
539;8_8
541;8_8
542;8_8
543;5_1
544;5_1
545;5_1
547;8_8
546;8_8
549;8_8
550;8_8
551;8_8
552;8_8
