NACE_2008_mix|NACE2008_mix_label|HILUCS_l2|HILUCS_l2_label|HILUCS_mix(*)|HILUCS_mix_label|WALOUS_HILUCS_Final|WALOUS_mix_label
011|Cultures non permanentes|1_1|Agriculture|1_1|Agriculture|1_1|Agriculture
012|Cultures permanentes|1_1|Agriculture|1_1|Agriculture|1_1|Agriculture
013|Reproduction de plantes|1_1|Agriculture|1_1|Agriculture|1_1|Agriculture
014|Production animale|1_1|Agriculture|1_1|Agriculture|1_1|Agriculture
015|Culture et élevage associés|1_1|Agriculture|1_1|Agriculture|1_1|Agriculture
016|Activités de soutien à l'agriculture et traitement primaire des récoltes|1_1|Agriculture|1_1|Agriculture|1_1|Agriculture
017|Chasse, piégeage et services annexes|1_5|OtherPrimaryProduction|1_5|OtherPrimaryProduction|1_5|OtherPrimaryProduction
02|Sylviculture et exploitation forestière|1_2|Forestry|1_2|Forestry|1_2|Forestry
03|Pêche et aquaculture|1_4|AquacultureAndFishing|1_4|AquacultureAndFishing|1_4|AquacultureAndFishing
05|Extraction de houille et de lignite|1_3|MiningAndQuarrying|1_3_1|MiningOfEnergyProducingMaterials|1_3|MiningAndQuarrying
06|Extraction d'hydrocarbures|1_3|MiningAndQuarrying|1_3_1|MiningOfEnergyProducingMaterials|1_3|MiningAndQuarrying
07|Extraction de minerais métalliques|1_3|MiningAndQuarrying|1_3_2|MiningOfMetalOres|1_3|MiningAndQuarrying
08|Autres industries extractives|1_3|MiningAndQuarrying|1_3_3|OtherMiningAndQuarrying|1_3|MiningAndQuarrying
09|Services de soutien aux industries extractives|1_3|MiningAndQuarrying|1_3_3|OtherMiningAndQuarrying|1_3|MiningAndQuarrying
10|Industries alimentaires|2_3|LightEndProductIndustry|2_3_1|ManufacturingOfFoodBeveragesAndTobaccoProducts|2_3|LightEndProductIndustry
11|Fabrication de boissons|2_3|LightEndProductIndustry|2_3_1|ManufacturingOfFoodBeveragesAndTobaccoProducts|2_3|LightEndProductIndustry
12|Fabrication de produits à base de tabac|2_3|LightEndProductIndustry|2_3_1|ManufacturingOfFoodBeveragesAndTobaccoProducts|2_3|LightEndProductIndustry
13|Fabrication de textiles|2_1|RawIndustry|2_1_1|ManufacturingOfTextileProducts|2_1|RawIndustry
14|Industrie de l'habillement|2_3|LightEndProductIndustry|2_3_2|ManufacturingOfClothesAndLeather|2_3|LightEndProductIndustry
15|Industrie du cuir et de la chaussure|2_3|LightEndProductIndustry|2_3_2|ManufacturingOfClothesAndLeather|2_3|LightEndProductIndustry
16|Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie|2_1|RawIndustry|2_1_2|ManufacturingOfWoodAndWoodBasedProducts|2_1|RawIndustry
17|Industrie du papier et du carton|2_1|RawIndustry|2_1_2|ManufacturingOfWoodAndWoodBasedProducts|2_1|RawIndustry
18|Imprimerie et reproduction d'enregistrements|2_3|LightEndProductIndustry|2_3_3|PublishingAndPrinting|2_3|LightEndProductIndustry
19|Cokéfaction et raffinage|2_1|RawIndustry|2_1_4|ManufacturingOfCokeRefinedPetroleumProductsAndNuclearFuel|2_1|RawIndustry
20|Industrie chimique|2_1|RawIndustry|2_1_5|ManufacturingOfChemicalsChemicalProductsManMadeFibers|2_1|RawIndustry
21|Industrie pharmaceutique|2_3|LightEndProductIndustry|2_3_5|ManufacturingOfOtherLightEndProducts|2_3|LightEndProductIndustry
22|Fabrication de produits en caoutchouc et en plastique|2_1|RawIndustry|2_1_8|ManufacturingOfRubberPlasticProducts|2_1|RawIndustry
23|Fabrication d'autres produits minéraux non métalliques|2_1|RawIndustry|2_1_7|ManufacturingOfNonMetallicMineralProducts|2_1|RawIndustry
24|Métallurgie|2_1|RawIndustry|2_1_6|ManufacturingOfBasicMetalsAndFabricatedMetals|2_1|RawIndustry
25|Fabrication de produits métalliques, à l'exception des machines et des équipements|2_1|RawIndustry|2_1_6|ManufacturingOfBasicMetalsAndFabricatedMetals|2_1|RawIndustry
26|Fabrication de produits informatiques, électroniques et optiques|2_3|LightEndProductIndustry|2_3_4|ManufacturingOfElectricalAndOpticalEquipment|2_3|LightEndProductIndustry
27|Fabrication d'équipements électriques|2_3|LightEndProductIndustry|2_3_4|ManufacturingOfElectricalAndOpticalEquipment|2_3|LightEndProductIndustry
28|Fabrication de machines et d'équipements n.c.a.|2_2|HeavyEndProductIndustry|2_2_1|ManufacturingOfMachinery|2_2|HeavyEndProductIndustry
29|Construction et assemblage de véhicules automobiles, de remorques et de semi-remorques|2_2|HeavyEndProductIndustry|2_2_2|ManufacturingOfVehiclesAndTransportEquipment|2_2|HeavyEndProductIndustry
